material_id,formula_pretty,density,energy_per_atom,efermi,energy_above_hull,band_gap,e_total,formula,data.Sᵉ.p.v.value,data.Sᵉ.p.T.value,data.σᵉ.p.v.value,data.σᵉ.p.T.value,data.κₑᵉ.p.v.value,data.κₑᵉ.p.T.value,ZT
mp-677467,Rb5Te3H4NCl18,2.814365615,-3.70325953,0.16462353,0,2.6114,14.82954644,Rb5Te3H4NCl18,1182.05,900,1089.55,100,0.121154,100,0.093702747
mp-30847,TiSnPt,9.925802909,-6.817648663,6.96184015,0,0.7908,26.45245058,TiSnPt,1075.81,300,2614.47,1300,0.399481,100,0.087294352
mp-1479,BP,2.952601818,-6.453834455,7.5307309,0,1.2435,9.272071147,BP,1005.38,600,8197.72,200,1.39574,100,0.036221805
mp-675989,Tl9BiSe6,8.555398443,-3.436849859,4.04783314,0,0.7463,141.5385033,Tl9BiSe6,932.02,300,4310.09,300,0.587416,100,0.030245976
mp-643727,HPbBrO,6.373903854,-4.793657646,1.93815957,0,3.1006,30.9126628,HPbBrO,1200.25,1200,1829.01,200,0.34972,100,0.076614123
mp-752463,NbNO,4.942325901,-9.71007219,2.06556323,0.061740882,0.9837,112.3347593,NbNO,938.155,500,5063.38,100,1.04337,100,0.020268796
mp-12015,KAg2AsO4,5.026473282,-5.256577473,1.45797878,0,0.2116,14.14728503,KAg2AsO4,781.108,100,4768.5,1300,0.421973,100,0.070111473
mp-765411,Li3CrSiO5,3.545315727,-7.169550239,3.7578164,0.078129367,3.1273,13.74473879,Li3CrSiO5,1215.49,1100,614.559,100,0.0921122,400,0.106917237
mp-11520,YNiSb,6.942946663,-6.42214189,6.58644604,0,0.2945,21.64774737,YNiSb,720.528,100,13145.4,1300,1.55523,100,0.044622172
mp-12829,LiCaGaF6,3.350955798,-5.509570639,-2.40919854,0,6.2575,6.96790884,LiCaGaF6,1398.2,1300,214.998,100,0.0256549,100,0.166599037
mp-35539,Zn2GeSe4,4.814304364,-3.797190096,1.28646831,0.009914361,1.3873,10.77757595,Zn2GeSe4,1137.81,600,3423.86,100,0.895633,100,0.026840706
mp-28400,P3Ru,5.201448386,-6.902495134,7.74114088,0,1.1446,23.09358708,P3Ru,1048.91,400,2005.01,100,0.425214,100,0.021101592
mp-17891,NaYSiO4,3.567378021,-8.070256109,1.51704885,0,4.2796,8.431887687,NaYSiO4,1263.49,1300,821.587,100,0.127807,100,0.104354776
mp-10621,RbSbS2,3.504782324,-4.311409662,1.97539408,0,1.9493,26.03301881,RbSbS2,1183.53,700,699.167,100,0.125863,100,0.047474722
